m.z,mode,p.value,t.score
804.55407,positive,0.62930224,0.57
806.56969,positive,0.010726997,0.33
811.66903,positive,0.97956411,-0.09
814.63267,positive,0.026307369,0.41
818.60614,positive,0.001468134,0.55
820.62197,positive,0.011796437,0.32
832.58534,positive,0.004563259,0.55
834.60131,positive,0.002487817,0.4
838.55982,positive,0.047804346,0.26
844.60719,positive,0.687835161,0.38
850.66849,positive,0.032197228,0.59
856.58607,positive,0.09770475,1.12
860.61735,positive,0.045425865,0.61
158.04587,negative,0.016776693,-0.54
229.0466,negative,0.012507163,0.38
257.07792,negative,0.228991808,0.19
281.2486,negative,0.888111225,0.53
302.05177,negative,0.000308269,-1.14
318.14601,negative,1.28E-05,4.31
392.14627,negative,9.16E-09,3.29
94.98062,negative,0.890979946,-0.05
78.91887,negative,0.111959401,-0.24
87.00877,negative,0.18021595,-0.15
89.02442,negative,0.015748409,-0.44
101.06081,negative,0.007936959,-0.84
104.03532,negative,0.200217703,-0.24
124.00741,negative,0.000632931,-0.51
111.02001,negative,0.725933627,-0.12
112.93727,negative,0.126931487,-0.69
131.04623,negative,0.139935869,-0.11
133.01426,negative,0.009456962,-0.36
124.9914,negative,0.001964755,-1.22
128.03531,negative,0.029570355,-0.35
147.02987,negative,0.001849281,-0.56
129.05574,negative,0.056833055,-0.22
130.05098,negative,8.55E-06,1.73
130.05097,negative,1.30E-05,1.58
132.03023,negative,0.005455575,-0.61
132.03023,negative,0.579581164,0.05
133.05064,negative,0.006364777,-0.57
178.05096,negative,0.03491342,-0.37
135.02991,negative,0.01009763,-0.29
138.02303,negative,9.89E-05,-0.97
188.05644,negative,0.04595856,0.32
145.01429,negative,3.65E-05,-0.73
146.04588,negative,4.78E-07,2.79
164.07169,negative,0.843091531,0.03
151.02616,negative,0.12832612,-0.79
152.00231,negative,0.057608501,-0.66
306.07649,negative,0.004091129,-0.59
154.02747,negative,0.000122755,-0.76
154.06221,negative,0.819565635,0.2
174.04079,negative,0.990113793,0.06
157.03669,negative,0.458211669,-0.21
158.08226,negative,0.017023274,0.58
159.0775,negative,0.854844474,0.83
160.06153,negative,5.09E-06,2.23
160.06152,negative,1.25E-06,2.21
161.04555,negative,0.024831215,-0.35
179.0561,negative,0.000937791,-0.7
161.08196,negative,0.174444451,-0.48
164.03868,negative,0.069618008,-0.33
166.01796,negative,0.000690853,-0.64
166.97508,negative,0.553113456,-0.21
168.0431,negative,0.002459728,-0.64
168.98122,negative,0.000449118,-1
168.99075,negative,0.011959949,-0.62
171.00641,negative,0.011751428,-0.54
171.0064,negative,0.000452984,-1.02
172.09791,negative,2.15E-08,4.14
191.01972,negative,0.002958972,-0.72
173.00915,negative,0.001243577,-1.07
191.01973,negative,0.292059975,-0.57
173.08192,negative,0.590526638,-0.09
175.03603,negative,0.880795446,-0.61
353.0489,negative,0.668374344,-0.09
176.03868,negative,0.100333387,-0.49
176.03869,negative,0.02314987,-0.33
176.93594,negative,0.005400707,-0.44
178.05097,negative,0.68137784,-0.01
178.05096,negative,0.043634775,-0.32
179.05612,negative,0.889987221,0.06
180.03361,negative,0.000374724,-1.06
180.03358,negative,0.65965081,0.12
181.05064,negative,0.047605242,-0.41
227.10376,negative,0.919199761,0.23
184.98566,negative,0.050251231,-0.73
184.98565,negative,0.434504068,-0.28
187.00705,negative,0.933720355,0.3
187.07243,negative,3.71E-06,1.94
187.09756,negative,0.690796707,-0.12
188.06767,negative,1.57E-06,5.18
188.06767,negative,0.272924259,0.57
378.09756,negative,0.007832258,-0.58
190.05435,negative,9.90E-05,1.07
191.0496,negative,0.071199981,-0.49
191.06735,negative,0.007051359,0.61
191.08262,negative,0.007784561,-0.67
192.06662,negative,0.124728237,-0.18
195.05102,negative,0.00077029,-0.86
195.05101,negative,0.000640493,-0.68
196.02852,negative,1.46E-05,-2.66
392.18265,negative,0.002324474,2.02
199.07241,negative,0.857517507,-0.11
199.17035,negative,0.973480253,0.26
201.12449,negative,0.949679861,0.13
202.08332,negative,0.001203957,1.3
218.1034,negative,0.006248739,-0.41
203.06735,negative,3.32E-05,1.04
204.06663,negative,0.566540638,-0.12
204.98123,negative,0.000633959,-0.61
205.03536,negative,0.002312592,-0.64
206.08225,negative,0.000128413,3.6
211.00131,negative,0.125037764,-0.4
215.12889,negative,0.523116777,1.16
216.05136,negative,0.001949078,-0.74
217.03297,negative,0.225901747,-0.58
217.08303,negative,0.275618458,-0.81
218.06701,negative,0.571393857,-0.24
218.07823,negative,4.02E-05,4.89
218.07823,negative,1.54E-06,3.53
219.07751,negative,0.626481759,0.16
222.09836,negative,0.000875635,-0.75
223.03943,negative,2.14E-05,2.18
223.03941,negative,1.82E-05,2.32
226.99622,negative,0.001868527,-0.6
227.20165,negative,0.063145609,-3.72
229.01187,negative,0.023254936,-0.66
229.13463,negative,0.627230193,-0.22
230.11469,negative,4.17E-05,5.52
230.11466,negative,0.000425514,4.72
231.09864,negative,3.77E-06,1.9
231.13508,negative,0.842691464,0.31
232.09385,negative,1.35E-07,6.88
235.03943,negative,0.278624593,0.26
236.02344,negative,5.69E-05,-1.12
236.09285,negative,0.020306121,-0.32
237.09139,negative,0.074442464,-0.3
239.01415,negative,0.002367647,-0.43
239.23805,negative,0.006536337,0.73
241.01188,negative,0.003107252,-0.68
241.01188,negative,0.000365825,-0.84
241.07312,negative,0.24787348,0.24
242.11453,negative,0.000772298,5.32
242.11462,negative,0.008192594,3.41
243.02751,negative,0.034773356,-0.37
243.0809,negative,0.021611995,-0.34
243.0809,negative,0.133520378,-0.34
244.05915,negative,0.599508066,-0.02
245.04318,negative,0.07847196,-0.28
261.07281,negative,3.21E-05,1.33
245.07789,negative,7.98E-06,3.08
245.08913,negative,1.55E-07,6.42
245.08916,negative,0.013040376,0.39
246.07313,negative,4.18E-09,5.22
246.10951,negative,0.001723748,5.51
247.09357,negative,0.050810226,0.44
251.07069,negative,0.098070491,-0.6
252.01836,negative,0.000439907,-1.08
253.04997,negative,0.004419226,-0.42
253.09289,negative,0.000652872,-0.59
254.99108,negative,0.002177073,-0.49
255.23295,negative,0.850577182,0.45
256.09391,negative,0.198844088,0.44
258.03842,negative,3.70E-05,-0.9
274.14086,negative,2.09E-11,5.45
259.02243,negative,0.022058477,-1.24
259.02242,negative,0.000230005,-0.83
259.10478,negative,3.05E-08,5.79
259.1048,negative,6.82E-14,6.57
260.08882,negative,0.001438542,-0.66
260.08878,negative,0.000224394,4.26
260.08883,negative,1.82E-06,4.91
260.12522,negative,5.61E-06,5.33
260.12521,negative,0.000972166,2.86
265.01925,negative,0.042105537,-0.45
267.06562,negative,0.385736872,-0.27
267.09084,negative,0.446781529,-0.4
267.09862,negative,0.999774082,0.14
268.10516,negative,1.18E-05,5.79
271.00399,negative,0.331684345,-0.24
271.00471,negative,0.07600065,-0.29
271.22785,negative,0.715264914,0.29
272.12522,negative,2.84E-05,6.79
272.12521,negative,4.58E-06,5.14
272.16161,negative,5.05E-05,7.49
272.1616,negative,4.45E-05,6.37
273.00164,negative,0.00284511,-0.81
273.03808,negative,0.595612757,-0.18
273.07279,negative,1.87E-06,2.78
273.07626,negative,0.283594328,-0.28
290.08815,negative,0.007249702,-0.64
274.10446,negative,6.56E-11,3.12
274.10446,negative,0.561287597,0.32
274.1045,negative,0.167268849,1.32
274.14084,negative,3.39E-07,5.23
275.01735,negative,0.116735755,-1.18
275.08851,negative,0.790430192,-0.7
275.09972,negative,1.08E-07,4.52
275.09972,negative,2.46E-07,4.8
275.09973,negative,1.49E-05,1.43
275.10375,negative,0.257163281,0.64
276.08372,negative,7.90E-11,4.89
279.0809,negative,0.381837968,0.49
279.10208,negative,0.005226412,-0.57
279.23295,negative,0.793829711,0.83
565.04754,negative,0.006365154,-0.39
283.0684,negative,0.420533381,0.22
283.26422,negative,0.832517065,0.67
302.13576,negative,0.000228114,6.67
284.16157,negative,4.36E-09,6.04
284.16161,negative,1.28E-08,4.79
285.12037,negative,0.026345383,4.01
303.13101,negative,1.62E-11,5.8
286.17725,negative,7.26E-07,5.97
288.12012,negative,2.75E-07,2.78
288.1201,negative,1.15E-06,7.58
288.12012,negative,1.59E-06,5.28
289.03301,negative,0.013550234,-1.64
579.02681,negative,0.005318042,-0.83
333.09152,negative,0.969640067,0.27
289.11539,negative,6.44E-14,6.53
290.09938,negative,5.70E-06,5.37
588.07495,negative,0.010646129,-0.37
294.99342,negative,0.004033187,-0.81
295.04279,negative,0.988799046,0.04
295.09357,negative,0.964999048,0.2
298.02836,negative,0.031661191,-0.67
316.15131,negative,0.000603652,8.55
300.04899,negative,0.00010776,-0.92
301.15178,negative,1.43E-07,5.39
302.09938,negative,4.40E-07,3.04
302.13576,negative,1.53E-13,6.3
302.13574,negative,2.50E-06,3.33
606.07411,negative,0.000375671,-0.75
303.08342,negative,3.26E-08,5.66
303.09463,negative,4.85E-06,4.28
304.03401,negative,0.368153852,-0.35
304.13368,negative,1.94E-12,5.05
304.15144,negative,5.96E-07,2.91
304.15143,negative,4.58E-07,2.33
305.01805,negative,0.93117745,-0.57
305.01807,negative,0.294681791,-0.24
305.09658,negative,0.533725951,-0.3
307.03374,negative,0.005225337,-0.62
307.11217,negative,0.584669627,-0.57
308.09872,negative,0.000431648,-0.92
308.12525,negative,2.93E-05,1.43
309.03974,negative,0.180418872,0.18
309.10926,negative,8.20E-05,1.24
310.14085,negative,7.15E-07,5.45
313.04425,negative,0.116376859,-0.15
313.15178,negative,0.005503282,3.55
357.10917,negative,0.058103866,-0.36
314.11471,negative,0.596242154,0.03
314.13575,negative,0.000231078,3.5
314.13579,negative,1.81E-07,5.37
315.08106,negative,0.016529269,-0.31
315.13102,negative,0.002581938,5.48
315.29052,negative,0.036280687,0.46
316.07869,negative,4.90E-08,4.64
316.11506,negative,4.64E-06,5.49
317.1103,negative,9.14E-13,5.78
317.12557,negative,6.40E-05,3.27
318.14936,negative,1.77E-07,5.55
318.16713,negative,0.000190689,7.39
319.10822,negative,0.000223441,4.4
320.09207,negative,0.003401544,-0.48
320.14637,negative,0.330236064,0.33
320.16171,negative,5.07E-05,4.97
321.04938,negative,0.013280627,-0.65
321.10923,negative,0.001584079,5.27
323.02862,negative,0.224347568,-0.31
326.27013,negative,0.597709338,-0.23
