Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
604.06993,C00096,M-H [1-],6.00000009853829e-06
184.98565,C00631,M-H [1-],2.59999999911997e-05
184.98565,C00197,M-H [1-],2.59999999911997e-05
448.30684,C05466,M-H [1-],1.60000000164473e-05
378.09759,C03451,M-H [1-],3.39999999710017e-05
179.05612,C00221,M-H [1-],4.00000001832268e-06
179.05612,C00267,M-H [1-],4.00000001832268e-06
179.05612,C00095,M-H [1-],4.00000001832268e-06
179.05612,C00159,M-H [1-],4.00000001832268e-06
179.05612,C01720,M-H [1-],4.00000001832268e-06
179.05612,C00124,M-H [1-],4.00000001832268e-06
179.05612,C00984,M-H [1-],4.00000001832268e-06
179.05612,C00031,M-H [1-],4.00000001832268e-06
179.05612,C00137,M-H [1-],4.00000001832268e-06
295.09357,C00921,M-H2O-H [1-],0.000740000000007512
259.02243,C00085,M-H [1-],5.99999998485146e-06
259.02243,C00668,M-H [1-],5.99999998485146e-06
259.02243,C00103,M-H [1-],5.99999998485146e-06
259.02243,C01172,M-H [1-],5.99999998485146e-06
259.02243,C00275,M-H [1-],5.99999998485146e-06
259.02243,C00636,M-H [1-],5.99999998485146e-06
259.02243,C01094,M-H [1-],5.99999998485146e-06
259.02243,C01097,M-H [1-],5.99999998485146e-06
259.02243,C00446,M-H [1-],5.99999998485146e-06
259.02243,C00092,M-H [1-],5.99999998485146e-06
259.02243,C03546,M-H [1-],5.99999998485146e-06
259.02243,C04006,M-H [1-],5.99999998485146e-06
259.02243,C01177,M-H [1-],5.99999998485146e-06
152.00231,C00606,M-H [1-],1.40000000214968e-05
281.2486,C00712,M-H [1-],2.39999999962492e-05
279.23295,C01595,M-H [1-],2.59999999911997e-05
211.00131,C00117,M-H2O-H [1-],0.000499999999988177
211.00131,C00620,M-H2O-H [1-],0.000499999999988177
211.00131,C00199,M-H2O-H [1-],0.000499999999988177
211.00131,C00231,M-H2O-H [1-],0.000499999999988177
305.01807,C00105,M-H2O-H [1-],0.000560000000007221
131.04623,C02642,M-H [1-],5.99999998485146e-06
131.04623,C00152,M-H [1-],5.99999998485146e-06
321.04938,C00364,M-H [1-],5.59999999723004e-05
104.03532,C00065,M-H [1-],3.99999998990097e-06
104.03532,C00740,M-H [1-],3.99999998990097e-06
199.17035,C02679,M-H [1-],2.59999999911997e-05
157.03669,C02350,M-H [1-],3.40000000278451e-05
130.05097,C00430,M-H [1-],4.5999999997548e-05
130.05097,C01157,M-H [1-],4.5999999997548e-05
130.05097,C01165,M-H [1-],4.5999999997548e-05
130.05097,C05147,M-H [1-],4.5999999997548e-05
130.05097,C03440,M-H [1-],4.5999999997548e-05
130.05097,C01110,M-H [1-],4.5999999997548e-05
191.01972,C00311,M-H [1-],3.99999998990097e-06
191.01972,C00158,M-H [1-],3.99999998990097e-06
191.01972,C00818,M-H2O-H [1-],0.000510000000019772
154.06221,C00135,M-H [1-],1.40000000214968e-05
173.00915,C00417,M-H [1-],2.59999999911997e-05
191.01973,C00311,M-H [1-],6.00000001327317e-06
191.01973,C00158,M-H [1-],6.00000001327317e-06
191.01973,C00818,M-H2O-H [1-],0.000520000000022947
168.99075,C00118,M-H [1-],2.59999999911997e-05
168.99075,C00111,M-H [1-],2.59999999911997e-05
160.06153,C00956,M-H [1-],5.99999998485146e-06
313.04425,C04376,M-H [1-],2.59999999911997e-05
289.11539,C03406,M-H [1-],6.60000000038963e-05
111.02001,C00106,M-H [1-],1.39999999930751e-05
