Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
175.11894,C00062,M+H [1+],3.59999999943739e-05,Arginine and proline metabolism,"",35,Matched.Compound,L-Arginine,0.209374376,-0.18,TRUE,175.11894
212.04312,C02305,M+H [1+],4.40000000025975e-05,Arginine and proline metabolism,"",35,Matched.Compound,Phosphocreatine,0.00030155,-0.92,TRUE,212.04312
399.14455,C00019,M+H [1+],7.39999999836982e-05,Arginine and proline metabolism,"",35,Matched.Compound,S-Adenosylmethionine,0.000855724,-0.5,TRUE,399.14455
86.06002,C00334,M-H2O+H [1+],4.35332299986158e-05,Arginine and proline metabolism,"",35,Matched.Compound,gamma-Aminobutyric acid,0.837278259,-0.25,TRUE,86.06002
87.00877,C00022,M-H [1-],4.5999999997548e-05,Arginine and proline metabolism,"",35,Matched.Compound,Pyruvic acid,0.18021595,-0.15,FALSE,87.00877
132.03023,C00049,M-H [1-],5.99999998485146e-06,Arginine biosynthesis,"",14,Matched.Compound,L-Aspartic acid,0.005455575,-0.61,FALSE,132.03023
145.01429,C00026,M-H [1-],6.59999999754746e-05,Arginine biosynthesis,"",14,Matched.Compound,Oxoglutaric acid,3.65e-05,-0.73,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Arginine biosynthesis,"",14,Matched.Compound,Glutamic acid,4.78e-07,2.79,FALSE,146.04588
147.07642,C00064,M+H [1+],4.40000000310192e-05,Arginine biosynthesis,"",14,Matched.Compound,Glutamine,0.1136006,-0.18,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Arginine biosynthesis,"",14,Matched.Compound,Glutamic acid,9.56e-05,-0.55,TRUE,148.06045
175.1077,C00437,M+H [1+],2.39999999962492e-05,Arginine biosynthesis,"",14,Matched.Compound,N2-Acetylornithine,0.135019826,-0.4,TRUE,175.1077
