id	Num_In_Path_Metab	Num_In_Path_Gene	Num_In_Path	Pval_Metab	Pval_combined	Pval	Pval_combined_FDR	Pval_FDR	Pval_combined_Holm	Pval_Holm	Total_In_Path_Metab	Total_In_Path_Gene	Total_In_Path	analytes	pathwayName	pathwaySource	pathwayId	cluster_assignment	metabCount	geneCount	pathCount	OR
			4			8.13343e-8		0.000001362411		0.000422			8	AMP  |  UMP  |  ADP  |  GMP	Lagging Strand Synthesis	reactome	R-HSA-69186	10			4/8	0.005769
			4			8.13343e-8		0.000001362411		0.000422			8	AMP  |  UMP  |  ADP  |  GMP	DNA strand elongation	reactome	R-HSA-69190	10			4/8	0.005769
			5			8.341509e-9		2.138652e-7		0.000044			13	AMP  |  UMP  |  ADP  |  dTTP  |  GMP	Synthesis of DNA	reactome	R-HSA-69239	10			5/13	0.009093
			3			0.000007068924		0.000042		0.032369			7	AMP  |  ADP  |  Phosphate	RNA Polymerase II Transcription Initiation And Promoter Clearance	reactome	R-HSA-76042	26			3/7	0.00775
			3			0.000002037241		0.000016		0.009791			5	GDP  |  ADP  |  Phosphate	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	reactome	R-HSA-8849471	19			3/5	0.003868
			3			0.000004056894		0.000027		0.019104			6	GDP  |  ADP  |  Phosphate	Assembly and cell surface presentation of NMDA receptors	reactome	R-HSA-9609736	17			3/6	0.005839
			4			1.75884e-8		3.988874e-7		0.000093			6	L-Arginine  |  S-Adenosylmethionine  |  GDP  |  Phosphate	Amino acids regulate mTORC1	reactome	R-HSA-9639288	15			4/6	0.002894
			3			0.000004056894		0.000027		0.019104			6	AMP  |  UMP  |  GMP	Removal of the Flap Intermediate	reactome	R-HSA-69166	10			3/6	0.005839
			3			0.000004056894		0.000027		0.019104			6	AMP  |  UMP  |  GMP	Processive synthesis on the lagging strand	reactome	R-HSA-69183	10			3/6	0.005839
			5			1.126338e-7		0.000001700616		0.00058			19	Argininosuccinic acid  |  Ornithine  |  L-Arginine  |  NAD  |  FAD	Proline and hydroxyproline pathways	wiki	WP5026	Did not cluster			5/19	0.017338
			4			7.977449e-7		0.000008390023		0.003981			12	carnitine  |  NAD  |  FAD  |  Choline	Diet-dependent trimethylamine/trimethylamine N-oxide metabolism	wiki	WP5219	Did not cluster			4/12	0.012545
			4			0.000004786665		0.00003		0.022162			18	Creatine  |  L-Arginine  |  S-Adenosylmethionine  |  ADP	Creatine pathway	wiki	WP5190	22			4/18	0.021945
			6			3.045031e-10		1.766439e-8		0.000001649493			15	L-Lactic acid  |  NADP  |  pyruvate  |  NAD  |  Niacinamide  |  NADH	NAD+ metabolism	wiki	WP3644	4			6/15	0.009181
			10			2.384e-16		2.005856e-13		1.312631e-12			25	NADP  |  ATP  |  NAD  |  GDP  |  Acetyl-CoA  |  GTP  |  ADP  |  Coenzyme A  |  Phosphate  |  NADH	TCA cycle (aka Krebs or citric acid cycle)	wiki	WP78	3			10/25	0.008722
			5			0.000001825236		0.000015		0.008916			32	NADP  |  pyruvate  |  Uridine diphosphate-N-acetylglucosamine  |  Acetyl-CoA  |  D-Ribulose 5-phosphate	Metabolic reprogramming in pancreatic cancer	wiki	WP5220	Did not cluster			5/32	0.033414
			4			0.000002875395		0.000022		0.013767			16	L-Kynurenine  |  NAD  |  Niacinamide  |  NADH	NAD+ biosynthetic pathways	wiki	WP3645	4			4/16	0.018784
			5			0.000005035327		0.000031		0.023303			39	Glutathione  |  pyruvate  |  Taurine  |  Hypotaurine  |  S-Adenosylmethionine	Cysteine and methionine catabolism	wiki	WP4504	11			5/39	0.042114
			4			8.343499e-9		2.138652e-7		0.000044			5	ATP  |  NAD  |  ADP  |  NADH	Oxidative phosphorylation	wiki	WP623	28			4/5	0.001563
			8			8.371859e-10		4.047133e-8		0.00000451913			49	Ornithine  |  pyruvate  |  ATP  |  NAD  |  S-Adenosylmethionine  |  FAD  |  Phosphate  |  Choline	Methionine de novo and salvage pathway	wiki	WP3580	11			8/49	0.030534
			4			7.977449e-7		0.000008390023		0.003981			12	pyruvate  |  NAD  |  Niacinamide  |  NADH	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	wiki	WP5046	4			4/12	0.012545
			9			1.639623e-14		6.45426e-12		9.014649e-11			24	AMP  |  Creatine  |  L-Lactic acid  |  pyruvate  |  ATP  |  NAD  |  Fructose 1,6-bisphosphate  |  ADP  |  NADH	Aerobic glycolysis - augmented	wiki	WP4628	14			9/24	0.00983
