Query.Mass,Matched.Compound,Matched.Form,Mass.Diff,Pathway.Name,Pathway.ID,Pathway.Compound.Total,Pathway.Match.By,Matched.Compound.Name,p.value,t.score,pos_inx,Feature.ID
132.03023,C00049,M-H [1-],5.99999998485146e-06,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Aspartic acid,4.41e-07,2.78,FALSE,132.03023
132.03023,C00402,M-H [1-],5.99999998485146e-06,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,D-Aspartic acid,4.41e-07,2.78,FALSE,132.03023
132.06552,C01165,M+H [1+],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Glutamic gamma-semialdehyde,0.974431175,0.13,TRUE,132.06552
132.06552,C01157,M+H [1+],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Hydroxyproline,0.974431175,0.13,TRUE,132.06552
132.06552,C03440,M+H [1+],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,cis-4-Hydroxy-D-proline,0.974431175,0.13,TRUE,132.06552
145.01429,C00026,M-H [1-],6.59999999754746e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Oxoglutaric acid,1.02e-06,-1.31,FALSE,145.01429
146.04588,C00025,M-H [1-],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Glutamic acid,0.000116605,1.04,FALSE,146.04588
146.04588,C05938,M-H [1-],4.40000000025975e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,0.000116605,1.04,FALSE,146.04588
146.08119,C02946,M+H [1+],1.39999999930751e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Acetamidobutanoic acid,0.000364995,-1.29,TRUE,146.08119
146.09246,C01035,M+H [1+],8.39999999868724e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,4-Guanidinobutanoic acid,3.44e-07,-2.22,TRUE,146.09246
147.02987,C02630,M-H [1-],5.40000000341934e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,2-Hydroxyglutarate,0.104233405,-0.19,FALSE,147.02987
147.07642,C00064,M+H [1+],4.40000000310192e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Glutamine,0.854322998,0.14,TRUE,147.07642
148.06045,C00025,M+H [1+],2.59999999911997e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,Glutamic acid,0.001100992,-0.39,TRUE,148.06045
148.06045,C05938,M+H [1+],2.59999999911997e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-4-Hydroxyglutamate semialdehyde,0.001100992,-0.39,TRUE,148.06045
175.1077,C00437,M+H [1+],2.39999999962492e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N2-Acetylornithine,0.0377417,-0.65,TRUE,175.1077
175.11894,C00062,M+H [1+],3.59999999943739e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,L-Arginine,0.004878018,-1.01,TRUE,175.11894
188.17573,C01029,M+H [1+],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N8-Acetylspermidine,0.027593179,-0.6,TRUE,188.17573
188.17573,C00612,M+H [1+],4.5999999997548e-05,Aspartate and asparagine metabolism,mfn1v10path111,114,Matched.Compound,N1-Acetylspermidine,0.027593179,-0.6,TRUE,188.17573
