Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
132.03023,C00402,M-H [1-],5.99999998485146e-06
253.09289,C05401,M-H [1-],3.39999999994234e-05
145.01429,C00026,M-H [1-],6.59999999754746e-05
258.03842,C06377,M-H [1-],4.00000004674439e-06
258.03842,C00352,M-H [1-],4.00000004674439e-06
258.03842,C12214,M-H [1-],4.00000004674439e-06
259.02242,C00103,M-H [1-],3.99999998990097e-06
259.02242,CE3075,M-H [1-],2.79999999861502e-05
259.02242,C04006,M-H [1-],3.99999998990097e-06
259.02242,C00275,M-H [1-],3.99999998990097e-06
259.02242,C02965,M-H [1-],3.99999998990097e-06
259.02242,C05345,M-H [1-],3.99999998990097e-06
259.02242,C02976,M-H [1-],3.99999998990097e-06
259.02242,C01097,M-H [1-],3.99999998990097e-06
259.02242,C01094,M-H [1-],3.99999998990097e-06
259.02242,C03546,M-H [1-],3.99999998990097e-06
259.02242,C00092,M-H [1-],3.99999998990097e-06
259.02242,C00085,M-H [1-],3.99999998990097e-06
259.02242,C03735,M-H [1-],3.99999998990097e-06
259.02242,C00668,M-H [1-],3.99999998990097e-06
259.02242,C00636,M-H [1-],3.99999998990097e-06
259.02242,C00446,M-H [1-],3.99999998990097e-06
259.02242,C01171,M-H [1-],3.99999998990097e-06
259.02242,C01172,M-H [1-],3.99999998990097e-06
259.02242,C01177,M-H [1-],3.99999998990097e-06
259.02242,C03862,M-H [1-],2.79999999861502e-05
544.18835,C04847,M-H [1-],2.60000000480431e-05
190.05435,C02712,M-H [1-],2.59999999911997e-05
171.00641,C00093,M-H [1-],1.40000000214968e-05
535.03714,C00190,M-H [1-],8.39999999016072e-05
174.04079,C05520,M-H [1-],3.40000000278451e-05
174.04079,C01045,M-H [1-],3.40000000278451e-05
174.04079,C01042,M-H [1-],3.40000000278451e-05
341.10885,C00208,M-H [1-],7.39999999836982e-05
341.10885,C06373,M-H [1-],7.39999999836982e-05
341.10885,C00252,M-H [1-],7.39999999836982e-05
341.10885,C00243,M-H [1-],7.39999999836982e-05
341.10885,C01083,M-H [1-],7.39999999836982e-05
341.10885,C00897,M-H [1-],7.39999999836982e-05
341.10885,C00089,M-H [1-],7.39999999836982e-05
341.10885,C01235,M-H [1-],7.39999999836982e-05
341.10885,C05400,M-H [1-],7.39999999836982e-05
341.10885,C05402,M-H [1-],7.39999999836982e-05
341.10885,C00185,M-H [1-],7.39999999836982e-05
445.05305,C00570,M-H [1-],7.40000000405416e-05
346.05571,C00020,M-H [1-],0.000114000000053238
346.05571,C00362,M-H [1-],0.000114000000053238
588.07495,C00325,M-H [1-],2.60000000480431e-05
606.07411,C00203,M-H [1-],0.000213999999914449
606.07411,C00043,M-H [1-],0.000213999999914449
606.07411,C01170,M-H [1-],0.000213999999914449
827.2672,CE2835,M-H [1-],0.000181999999995242
253.04997,C05844,M-H [1-],5.40000000057717e-05
254.99108,C05385,M-H2O-H [1-],0.000470000000007076
308.09872,C00270,M-H [1-],3.99999998990097e-06
665.21451,C02052,M-H [1-],0.000113999999939551
665.21451,C01613,M-H [1-],0.000113999999939551
218.1034,C00864,M-H [1-],2.4000000024671e-05
442.01703,C00035,M-H [1-],5.99999998485146e-06
306.07649,C00051,M-H [1-],3.40000000278451e-05
333.05926,C01225,M-H [1-],3.59999999659522e-05
124.00741,C00245,M-H [1-],1.4000000007286e-05
179.0561,C00031,M-H [1-],2.4000000024671e-05
179.0561,C00221,M-H [1-],2.4000000024671e-05
179.0561,C00247,M-H [1-],2.4000000024671e-05
179.0561,C02336,M-H [1-],2.4000000024671e-05
179.0561,C00267,M-H [1-],2.4000000024671e-05
179.0561,C00738,M-H [1-],2.4000000024671e-05
179.0561,C00936,M-H [1-],2.4000000024671e-05
179.0561,C00095,M-H [1-],2.4000000024671e-05
179.0561,C00962,M-H [1-],2.4000000024671e-05
179.0561,C01582,M-H [1-],2.4000000024671e-05
179.0561,C00795,M-H [1-],2.4000000024671e-05
179.0561,C00137,M-H [1-],2.4000000024671e-05
179.0561,C00293,M-H [1-],9.0000000341206e-06
179.0561,C00124,M-H [1-],2.4000000024671e-05
179.0561,C00984,M-H [1-],2.4000000024671e-05
179.0561,C00159,M-H [1-],2.4000000024671e-05
579.02681,C00167,M-H [1-],0.000214000000028136
338.98866,C03785,M-H [1-],6.40000000089458e-05
338.98866,C05378,M-H [1-],6.40000000089458e-05
338.98866,C00354,M-H [1-],6.40000000089458e-05
338.98866,C03693,M-H [1-],6.40000000089458e-05
338.98866,C00665,M-H [1-],6.40000000089458e-05
338.98866,C01220,M-H [1-],6.40000000089458e-05
338.98866,C01231,M-H [1-],6.40000000089458e-05
338.98866,C04063,M-H [1-],6.40000000089458e-05
338.98866,C04062,M-H [1-],6.40000000089458e-05
243.0809,C00120,M-H [1-],2.39999999962492e-05
146.04588,C00217,M-H [1-],4.40000000025975e-05
146.04588,C00025,M-H [1-],4.40000000025975e-05
146.04588,C00302,M-H [1-],4.40000000025975e-05
146.04588,C05938,M-H [1-],4.40000000025975e-05
241.01188,C00103,M-H2O-H [1-],0.000570000000010396
241.01188,CE3075,M-H2O-H [1-],0.000546000000014146
241.01188,C04006,M-H2O-H [1-],0.000570000000010396
241.01188,C00275,M-H2O-H [1-],0.000570000000010396
241.01188,C05345,M-H2O-H [1-],0.000570000000010396
241.01188,C01097,M-H2O-H [1-],0.000570000000010396
241.01188,C01094,M-H2O-H [1-],0.000570000000010396
241.01188,C03546,M-H2O-H [1-],0.000570000000010396
241.01188,C00092,M-H2O-H [1-],0.000570000000010396
241.01188,C00085,M-H2O-H [1-],0.000570000000010396
241.01188,C04299,M-H [1-],4.40000000310192e-05
241.01188,C00636,M-H2O-H [1-],0.000570000000010396
241.01188,C00446,M-H2O-H [1-],0.000570000000010396
241.01188,C01172,M-H2O-H [1-],0.000570000000010396
241.01188,C01177,M-H2O-H [1-],0.000570000000010396
241.01188,C03862,M-H2O-H [1-],0.000546000000014146
565.04754,C00029,M-H [1-],0.000183999999876505
565.04754,C00052,M-H [1-],0.000183999999876505
558.06425,C00301,M-H [1-],0.000173999999901753
89.02442,C00577,M-H [1-],3.99999998990097e-06
89.02442,C00256,M-H [1-],3.99999998990097e-06
