Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
,C00085,136,
,C00668,137,
,C00103,138,
,C01172,139,
,C00275,140,
,C00636,141,
,C01094,142,
,C01097,143,
,C00446,144,
,C00092,145,
,C03546,146,
,C04006,147,
,C01177,148,
,C20775,149,
,C00043,150,
,C00203,151,
,C00270,152,
,C11537,153,
,C00093,154,
,C19562,155,
,C00245,156,
,C00257,157,
,C00800,158,
,C05401,159,
,C00020,160,
,C00362,161,
,C00035,162,
,C00221,163,
,C00267,164,
,C00095,165,
,C00159,166,
,C01720,167,
,C00124,168,
,C00984,169,
,C00031,170,
,C00137,171,
,C00096,172,
,C00417,173,
,C00044,174,
,C05922,175,
,C21310,176,
,C00063,177,
,C02266,178,
,C02630,179,
,C00459,180,
,C00024,181,
,C00570,182,
,C00311,183,
,C00158,184,
,C00818,185,
,C00190,186,
,C01613,187,
,C00051,188,
,C05844,189,
,C00075,190,
,C00365,191,
,C00167,192,
,C00049,193,
,C00402,194,
,C00864,195,
,C01801,196,
,C00029,197,
,C00052,198,
,C03451,199,
,C00149,200,
,C00325,201,
,C00118,202,
,C00111,203,
,C00364,204,
,C05382,205,
,C00186,206,
,C00577,207,
,C01013,208,
,C00184,209,
,C00256,210,
,C00015,211,
,C00120,212,
,C00117,213,
,C00620,214,
,C00199,215,
,C00231,216,
,C03827,217,
,C04281,218,
,C02237,219,
,C04282,220,
,C01879,221,
,C02985,222,
,C00624,223,
,C05583,224,
,C05582,225,
,C00631,226,
,C00197,227,
,C00671,228,
,C00233,229,
,C00606,230,
,C00112,231,
,C06424,232,
,C00010,233,
,C00008,234,
,C00361,235,
,C00054,236,
,C18043,237,
,C14871,238,
,C04376,239,
,C00144,240,
,C18239,241,
,C00385,242,
,C01747,243,
,C03108,244,
,C02642,245,
,C00152,246,
,C00136,247,
,C00630,248,
,C00022,249,
,C00222,250,
,C19586,251,
,C16756,252,
,C19595,253,
,C19585,254,
,C00065,255,
,C00740,256,
,C00105,257,
,C00055,258,
,C00504,259,
,C01762,260,
,C00016,261,
,C02350,262,
,C05122,263,
,C00074,264,
,C05660,265,
,C01222,266,
,C00643,267,
,D00536,268,
,C07501,269,
,C05465,270,
,C00106,271,
