"","Pathway_Total","Hits","P_val","P_adj","NES",""
"Squalene and cholesterol biosynthesis","55","4","1","1","0","C00024;CE2315;C01189;C03845;C00010;C00016;C00187"
"Galactose metabolism","41","18","1","1","0","C00124;C00103;C00029;C05400;C05401;C05402;tag1p-D;C00577;C00112;C00052;C03785;C00063;C01613;C00159;C00111;C00015;C00031;C00075;C00795;C02336;C00446;C00243;C00221;C00267;C00089;C00095;C01097"
"Carnitine shuttle","72","12","1","1","0","ptdcacrn;vacccrn;elaidcrn;hdcecrn;C02990;C00010;pcrn;odecrn;hdd2crn;C00318;arachcrn;clpndcrn;ttdcrn;stcrn;dcsptn1crn;hpdcacrn"
"Bile acid biosynthesis","82","11","1","1","0","C05463;CE1279;C05465;C05445;C05122;CE5530;C05462;C00037;C00020;CE4874;C00010;CE1277;C05458;C00016;C05453;C15520;C05455;C05466;C00245;C15518;CE1278;C15516;C00187;C06341"
"Propanoate metabolism","31","7","1","1","0","C00024;C00020;C02225;C00010;C00016;C01013;C00222;C04593"
"Blood Group Biosynthesis","44","6","1","1","0","C00325;C00055;C00035;C00015;C00052;C00043;C00203"
"Biopterin metabolism","22","3","1","1","0","C05922;C00079;C00082;C00044"
"Vitamin E metabolism","54","4","1","1","0","C00024;C00020;CE5842;CE5022;C00010;CE5835"
"Glycine, serine, alanine and threonine metabolism","88","28","1","1","NaN","C00025;C00024;C00026;C00020;C00022;C01026;C00010;C00062;C00016;C00019;C02939;C01033;C03451;C00256;C00300;C00430;C00065;C00579;C05519;C00188;C00051;C00197;C02305;C00213;C00037;C00133;C00630;C00041"
"Drug metabolism - cytochrome P450","53","9","1","1","0","C16582;C16591;C16596;C16595;C16577;C07501;C16612;C16584;C16587;C16586"
"Tryptophan metabolism","94","22","1","1","0","C00025;C00024;C00026;C00020;C05647;C05648;C00010;C00016;C00019;C05653;C05660;C00643;C02406;CE1918;C02700;C00328;C00051;C00936;C05635;C05634;C00041;C00954"
"Valine, leucine and isoleucine degradation","65","13","1","1","0","C00025;C00026;C00020;C00024;C00123;C15980;C00016;C03465;C00233;C00010;C02939;C00630;C00407;C01033;C03284;C00671"
"Fructose and mannose metabolism","33","16","1","1","0","C00325;C14830;C05378;C00577;C01222;C00275;C00665;C00095;C00661;C00159;C00035;C00111;C00031;CE3074;CE3075;C00085;C00354;C05345;C00636;C00267;C02976;C00096;C00044;C02985;C01094;C03693;CE2847"
"Glycosphingolipid biosynthesis - neolactoseries","16","6","1","1","0","C00035;C00015;C00325;C00043;C00055;C00052;C00203"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","9","1","1","0","C00025;C00020;C00062;C00064;C00019;C00153;C00442;C00301;C00049"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","7","1","1","0","C00127;C00800;C00051;C04575;C00818;C00425;C01620"
"Purine metabolism","80","21","1","1","0","C00025;C00362;C00020;C00361;C00144;C00212;C00037;C00035;C01551;C00330;C00044;C00074;C01762;C04376;C00442;C00387;C00286;C00064;C00385;C00022;C00049"
"Alanine and Aspartate Metabolism","30","17","1","1","0","C00025;C00024;C00026;C00020;C00022;C00062;C00064;C01042;C00099;C00010;C03406;C00037;C00152;C00133;C00402;C00041;C00049"
"Glutathione Metabolism","19","8","1","1","0.5539","C01879;C00025;C00127;C03740;C00041;C00051;C00669;C00037"
"TCA cycle","31","12","1","1","0","C00149;C00024;C00026;C00016;C00579;C00311;C00010;C00158;C00074;C00035;C00417;C00044"
"O-Glycan biosynthesis","16","4","1","1","0","C00015;C00043;C00055;C00052;C00203"
"Glycosphingolipid metabolism","67","19","1","1","0","C00024;C00124;C00029;C00325;C00249;C00319;C00517;C00270;C00054;C00055;C00962;C00052;C02934;C00010;C00035;C00015;C00016;C00031;C00065;C00836;C01747;C00043;C01582;C00203"
"Arginine and Proline Metabolism","45","20","1","1","0","C00025;C00024;C00148;C00026;C00022;C00062;C02946;C00170;C00763;C03406;C00010;C00016;C00019;C04281;C01157;C01165;C02714;C05938;C00064;C00049"
"Proteoglycan biosynthesis","27","6","1","1","0","C00043;C00054;C00167;C00052;C00015;C00190;C00203"
"Glycerophospholipid metabolism","156","29","1","1","NaN","C00024;C04230;C05401;C01225;C00010;C00019;C04756;C00222;C01233;C00307;C04598;C04317;CE0520;C00319;C00093;C00063;C00065;C01582;C00577;C00570;C06893;C00111;C01177;C00836;C00187;C00184;C01595;C00055;C00137"
"Phosphatidylinositol phosphate metabolism","59","14","1","1","0","C00124;C00015;C01225;C04299;C01220;C00055;C03546;C00092;C00010;C03862;C00137;C04006;C01235;C04063;C04062;C00249;C01177;C00043"
"N-Glycan Degradation","16","3","1","1","0","C00159;C00124;C00270"
"Carbon fixation","10","8","1","1","0","C00085;C00111;C00022;C00354;C00118;C00074;C00231;C00049"
"Pyrimidine metabolism","70","30","1","1","NaN","C00106;C01801;C00022;C00063;C00029;C00364;C00365;C00064;C00020;C05100;C00025;C00055;C00438;C00361;C05145;C00041;C00459;C00105;C00015;C00112;C00075;C00074;C00442;C00286;C00035;C00103;C00044;C02642;C00049;C00099"
"Aspartate and asparagine metabolism","114","39","1","1","NaN","C00025;C00024;C00026;C00020;C00148;C00437;C01029;C03440;C00010;C05829;C00016;C00152;C01035;C02238;CE1938;C03740;C02356;C00402;C05938;C00062;C00064;C04540;C00669;C01879;C02630;C01157;C00612;CE4788;C03415;C00127;C01165;C02946;C00051;C02714;C00037;C00334;C04281;C04282;C00049"
"Aminosugars metabolism","69","20","1","1","0","C00025;C00024;C00329;C00022;C00064;C00275;C04501;C04256;C04257;C00270;C00055;C00063;C04886;C00010;C00015;C00357;C00352;C00074;C00075;C00085;C01170;C00043;C00203"
"Tyrosine metabolism","160","30","1","1","NaN","C00026;C00020;CE5629;C00788;C00025;C00022;C00010;C00015;C00019;C00425;C00547;C01693;C00079;CE5278;C00082;C00167;C00064;C04185;C09642;C00127;CE5536;CE5538;C05589;C05583;C05582;C00054;C00051;C05588;C00041;CE2174;CE2176;CE2172;CE2173"
"Beta-Alanine metabolism","20","10","1","1","0","C00025;C00010;C00386;C00334;C00099;C00135;C00026;C01013;C00049;C00222"
"C21-steroid hormone biosynthesis and metabolism","112","5","1","1","0","C00015;C05499;C00167;C06341;C15520;C00187;C05501;C00054"
"Starch and Sucrose Metabolism","33","14","1","1","0","C00105;C00103;C00029;CE2835;C01083;C02052;C00015;C00031;C00221;C00267;C00167;C00208;C00897;C00185"
"Pentose phosphate pathway","37","19","1","1","0","C00281;C00345;C01801;C00442;C01101;C00020;C00620;C00257;C00199;C00231;C00092;C12214;C00661;C00117;C00111;C00118;C05345;C00085;C06222;C01236;C00221;C01172;C01218;C00301;C05382"
"Methionine and cysteine metabolism","94","21","1","1","0","C00025;C00024;C00026;C00020;C00022;C00010;C00019;C00302;C00245;C00065;C00170;C00127;C00519;C00054;C00051;C02712;C00212;C00606;C00037;C05844;C05529"
"Lysine metabolism","52","17","1","1","0","C00025;C00026;C00020;C04092;C05545;C05543;C04076;C00016;C03239;C00579;C00318;C00019;C00450;C00010;C00037;C00956;C03793"
